antecedent,consequent,support,confidence
{14},{18 34},0.717,0.503
{34},{14 18},0.641,0.562
{18},{14 34},0.705,0.511
{2},{16},0.273,0.53
{16},{2},0.513,0.282
{39},{29},0.316,0.317
{29},{39},0.28,0.357
{6},{29},0.528,0.355
{29},{6},0.28,0.668
{29},{4},0.28,0.668
{4},{29},0.397,0.472
{34},{0},0.641,0.289
{0},{34},0.284,0.651
{12},{0},0.365,0.31
{0},{12},0.284,0.398
{39},{18},0.316,0.554
{18},{39},0.705,0.248
{39},{14},0.316,0.554
{14},{39},0.717,0.244
{42},{18},0.317,0.707
{18},{42},0.705,0.318
{28},{19},0.342,0.555
{19},{28},0.54,0.352
{28},{48},0.342,0.499
{48},{28},0.479,0.357
{28},{32},0.342,0.433
{32},{28},0.413,0.359
{28},{16},0.342,0.305
{16},{28},0.513,0.204
{28},{1},0.342,0.305
{1},{28},0.52,0.201
{6},{28},0.528,0.211
{28},{6},0.342,0.326
{30},{12},0.563,0.382
{12},{30},0.365,0.588
{12},{1},0.365,0.984
{1},{12},0.52,0.691
{12},{16},0.365,0.55
{16},{12},0.513,0.391
{30},{46},0.563,0.401
{46},{30},0.372,0.607
{46},{18},0.372,0.578
{18},{46},0.705,0.305
{14},{46},0.717,0.3
{46},{14},0.372,0.578
{44},{18},0.373,0.292
{18},{44},0.705,0.154
{14},{44},0.717,0.305
{44},{14},0.373,0.587
{44},{34},0.373,0.292
{34},{44},0.641,0.17
{44},{1},0.373,0.275
{1},{44},0.52,0.197
{30},{44},0.563,0.193
{44},{30},0.373,0.292
{6},{44},0.528,0.389
{44},{6},0.373,0.55
{44},{4},0.373,0.55
{4},{44},0.397,0.517
{19},{49},0.54,0.406
{49},{19},0.389,0.564
{49},{48},0.389,0.491
{48},{49},0.479,0.399
{30},{49},0.563,0.407
{49},{30},0.389,0.59
{49},{1},0.389,0.985
{1},{49},0.52,0.737
{14},{49},0.717,0.403
{49},{14},0.389,0.743
{18},{49},0.705,0.266
{49},{18},0.389,0.483
{49},{16},0.389,0.306
{16},{49},0.513,0.232
{4},{49},0.397,0.3
{49},{4},0.389,0.306
{34},{49},0.641,0.293
{49},{34},0.389,0.483
{6},{49},0.528,0.244
{49},{6},0.389,0.331
{4},{19},0.397,0.575
{19},{4},0.54,0.423
{30},{4},0.563,0.429
{4},{30},0.397,0.609
{4},{1},0.397,0.984
{1},{4},0.52,0.751
{14},{4},0.717,0.403
{4},{14},0.397,0.728
{6},{4},0.528,0.648
{4},{6},0.397,0.862
{4},{34},0.397,0.679
{34},{4},0.641,0.42
{4},{16},0.397,0.515
{16},{4},0.513,0.398
{4},{18},0.397,0.252
{18},{4},0.705,0.142
{4},{48},0.397,0.311
{48},{4},0.479,0.258
{19},{26},0.54,0.431
{26},{19},0.412,0.564
{26},{18},0.412,0.726
{18},{26},0.705,0.425
{26},{48},0.412,0.497
{48},{26},0.479,0.428
{14},{26},0.717,0.426
{26},{14},0.412,0.74
{26},{16},0.412,0.301
{16},{26},0.513,0.242
{26},{1},0.412,0.434
{1},{26},0.52,0.345
{30},{26},0.563,0.186
{26},{30},0.412,0.254
{34},{26},0.641,0.164
{26},{34},0.412,0.254
{6},{26},0.528,0.254
{26},{6},0.412,0.324
{19},{32},0.54,0.419
{32},{19},0.413,0.547
{18},{32},0.705,0.431
{32},{18},0.413,0.736
{48},{32},0.479,0.427
{32},{48},0.413,0.496
{30},{32},0.563,0.434
{32},{30},0.413,0.593
{1},{32},0.52,0.78
{32},{1},0.413,0.983
{14},{32},0.717,0.418
{32},{14},0.413,0.725
{34},{32},0.641,0.433
{32},{34},0.413,0.672
{32},{16},0.413,0.542
{16},{32},0.513,0.436
{6},{32},0.528,0.252
{32},{6},0.413,0.322
{19},{48},0.54,0.496
{48},{19},0.479,0.559
{1},{48},0.52,0.897
{48},{1},0.479,0.974
{14},{48},0.717,0.497
{48},{14},0.479,0.744
{6},{48},0.528,0.693
{48},{6},0.479,0.764
{48},{16},0.479,0.518
{16},{48},0.513,0.483
{34},{48},0.641,0.494
{48},{34},0.479,0.661
{18},{48},0.705,0.493
{48},{18},0.479,0.726
{30},{48},0.563,0.501
{48},{30},0.479,0.59
{19},{16},0.54,0.531
{16},{19},0.513,0.558
{1},{16},0.52,0.946
{16},{1},0.513,0.958
{14},{16},0.717,0.53
{16},{14},0.513,0.74
{6},{16},0.528,0.528
{16},{6},0.513,0.542
{34},{16},0.641,0.519
{16},{34},0.513,0.648
{18},{16},0.705,0.523
{16},{18},0.513,0.718
{30},{16},0.563,0.515
{16},{30},0.513,0.565
{19},{1},0.54,0.534
{1},{19},0.52,0.555
{34},{1},0.641,0.549
{1},{34},0.52,0.677
{14},{1},0.717,0.533
{1},{14},0.52,0.735
{6},{1},0.528,0.539
{1},{6},0.52,0.547
{18},{1},0.705,0.549
{1},{18},0.52,0.745
{30},{1},0.563,0.55
{1},{30},0.52,0.596
{6},{19},0.528,0.565
{19},{6},0.54,0.553
{6},{34},0.528,0.668
{34},{6},0.641,0.55
{14},{6},0.717,0.541
{6},{14},0.528,0.735
{6},{18},0.528,0.724
{18},{6},0.705,0.541
{30},{6},0.563,0.544
{6},{30},0.528,0.581
{14},{19},0.717,0.557
{19},{14},0.54,0.74
{19},{34},0.54,0.667
{34},{19},0.641,0.561
{30},{19},0.563,0.562
{19},{30},0.54,0.586
{19},{18},0.54,0.741
{18},{19},0.705,0.567
{30},{14},0.563,0.748
{14},{30},0.717,0.588
{30},{34},0.563,0.653
{34},{30},0.641,0.574
{30},{18},0.563,0.704
{18},{30},0.705,0.563
{14},{34},0.717,0.662
{34},{14},0.641,0.741
{34},{18},0.641,0.728
{18},{34},0.705,0.662
{14},{18},0.717,0.736
{18},{14},0.705,0.748
