antecedent,consequent,support,confidence
{14 32},{18 34},0.299,0.55
{32 34},{14 18},0.277,0.593
{18 32},{14 34},0.304,0.542
{14},{18 32 34},0.717,0.23
{34},{14 18 32},0.641,0.257
{18},{14 32 34},0.705,0.233
{32},{14 18 34},0.413,0.399
{1 30 34},{32},0.214,0.572
{30 32 34},{1},0.103,1.188
{1 30 32},{34},0.173,0.705
{1 32 34},{30},0.122,1.0
{30 34},{1 32},0.368,0.332
{1 30},{32 34},0.31,0.394
{1 34},{30 32},0.352,0.347
{30 32},{1 34},0.245,0.499
{32 34},{1 30},0.277,0.44
{1 32},{30 34},0.406,0.301
{30},{1 32 34},0.563,0.217
{34},{1 30 32},0.641,0.191
{1},{30 32 34},0.52,0.235
{32},{1 30 34},0.413,0.296
{18 30 34},{32},0.27,0.381
{30 32 34},{18},0.103,1.0
{18 30 32},{34},0.103,1.0
{18 32 34},{30},0.209,0.491
{30 34},{18 32},0.368,0.279
{18 30},{32 34},0.397,0.259
{18 34},{30 32},0.466,0.22
{30 32},{18 34},0.245,0.42
{32 34},{18 30},0.277,0.371
{18 32},{30 34},0.304,0.338
{30},{18 32 34},0.563,0.182
{34},{18 30 32},0.641,0.16
{18},{30 32 34},0.705,0.146
{32},{18 30 34},0.413,0.249
{14 30 34},{32},0.216,0.476
{14 30 32},{34},0.103,1.0
{30 32 34},{14},0.103,1.0
{14 32 34},{30},0.103,1.0
{14 30},{32 34},0.421,0.244
{30 34},{14 32},0.368,0.279
{14 34},{30 32},0.475,0.216
{30 32},{14 34},0.245,0.42
{14 32},{30 34},0.299,0.343
{32 34},{14 30},0.277,0.371
{30},{14 32 34},0.563,0.182
{14},{30 32 34},0.717,0.143
{34},{14 30 32},0.641,0.16
{32},{14 30 34},0.413,0.249
{14 18 30},{32},0.31,0.332
{14 30 32},{18},0.103,1.0
{18 30 32},{14},0.103,1.0
{14 18 32},{30},0.231,0.446
{14 30},{18 32},0.421,0.244
{18 30},{14 32},0.397,0.259
{14 18},{30 32},0.527,0.195
{30 32},{14 18},0.245,0.42
{14 32},{18 30},0.299,0.343
{18 32},{14 30},0.304,0.338
{30},{14 18 32},0.563,0.182
{14},{18 30 32},0.717,0.143
{18},{14 30 32},0.705,0.146
{32},{14 18 30},0.413,0.249
{1 30 34},{48},0.214,0.495
{30 34 48},{1},0.106,1.0
{1 30 48},{34},0.106,1.0
