antecedent,consequent,support,confidence
{26 48},{19},0.205,0.583
{19},{26 48},0.54,0.221
{26},{19 48},0.412,0.29
{48},{19 26},0.479,0.249
{12 19},{48},0.204,0.529
{12 48},{19},0.182,0.593
{19 48},{12},0.268,0.403
{12},{19 48},0.365,0.295
{19},{12 48},0.54,0.2
{48},{12 19},0.479,0.225
{19 46},{48},0.206,0.509
{46 48},{19},0.19,0.552
{19 48},{46},0.268,0.392
{46},{19 48},0.372,0.281
{19},{46 48},0.54,0.194
{48},{19 46},0.479,0.219
{19 48},{32},0.268,0.426
{19 32},{48},0.226,0.505
{32 48},{19},0.205,0.558
{19},{32 48},0.54,0.212
{48},{19 32},0.479,0.238
{32},{19 48},0.413,0.276
{19 49},{16},0.219,0.554
{16 19},{49},0.286,0.424
{16 49},{19},0.212,0.572
{19},{16 49},0.54,0.225
{49},{16 19},0.389,0.312
{16},{19 49},0.513,0.237
{19 26},{49},0.233,0.43
{19 49},{26},0.219,0.457
{26 49},{19},0.164,0.61
{19},{26 49},0.54,0.186
{26},{19 49},0.412,0.243
{49},{19 26},0.389,0.258
{19 26},{16},0.233,0.548
{16 19},{26},0.286,0.445
{16 26},{19},0.222,0.574
{19},{16 26},0.54,0.236
{26},{16 19},0.412,0.309
{16},{19 26},0.513,0.248
{12 19},{16},0.204,0.574
{12 16},{19},0.201,0.583
{16 19},{12},0.286,0.409
{12},{16 19},0.365,0.321
{19},{12 16},0.54,0.217
{16},{12 19},0.513,0.228
{19 46},{16},0.206,0.535
{16 46},{19},0.197,0.56
{16 19},{46},0.286,0.385
{46},{16 19},0.372,0.296
{19},{16 46},0.54,0.204
{16},{19 46},0.513,0.215
{19 32},{16},0.226,0.563
{16 19},{32},0.286,0.444
{16 32},{19},0.224,0.568
{19},{16 32},0.54,0.236
{32},{16 19},0.413,0.308
{16},{19 32},0.513,0.248
{20 30},{34},0.154,0.675
{30 34},{20},0.368,0.283
{20 34},{30},0.177,0.589
{30},{20 34},0.563,0.185
{20},{30 34},0.271,0.385
{34},{20 30},0.641,0.163
{21 30},{34},0.182,0.643
{30 34},{21},0.368,0.318
{21 34},{30},0.196,0.597
{30},{21 34},0.563,0.208
{21},{30 34},0.307,0.382
{34},{21 30},0.641,0.183
{21 30},{16},0.182,0.549
{16 30},{21},0.29,0.345
{16 21},{30},0.166,0.601
{30},{16 21},0.563,0.178
{21},{16 30},0.307,0.326
{16},{21 30},0.513,0.195
{21 34},{16},0.196,0.56
{16 21},{34},0.166,0.659
{16 34},{21},0.332,0.33
{21},{16 34},0.307,0.358
{34},{16 21},0.641,0.171
{16},{21 34},0.513,0.214
{28 30},{34},0.196,0.685
{30 34},{28},0.368,0.365
{28 34},{30},0.23,0.585
{30},{28 34},0.563,0.239
{28},{30 34},0.342,0.393
{34},{28 30},0.641,0.21
{28 30},{48},0.196,0.512
{30 48},{28},0.282,0.356
{28 48},{30},0.171,0.588
{30},{28 48},0.563,0.178
{28},{30 48},0.342,0.293
{48},{28 30},0.479,0.21
{28 30},{16},0.196,0.541
{16 30},{28},0.29,0.366
{16 28},{30},0.188,0.566
{30},{16 28},0.563,0.188
{28},{16 30},0.342,0.31
{16},{28 30},0.513,0.207
{28 34},{48},0.23,0.524
{28 48},{34},0.171,0.705
{34 48},{28},0.316,0.381
{28},{34 48},0.342,0.352
{34},{28 48},0.641,0.188
{48},{28 34},0.479,0.252
{28 34},{16},0.23,0.569
{16 28},{34},0.188,0.698
{16 34},{28},0.332,0.394
{28},{16 34},0.342,0.382
{34},{16 28},0.641,0.204
{16},{28 34},0.513,0.255
{28 34},{26},0.23,0.435
{26 34},{28},0.27,0.371
{26 28},{34},0.147,0.682
{34},{26 28},0.641,0.156
{28},{26 34},0.342,0.292
{26},{28 34},0.412,0.243
{28 34},{32},0.23,0.437
{28 32},{34},0.148,0.678
{32 34},{28},0.277,0.362
{28},{32 34},0.342,0.293
{34},{28 32},0.641,0.157
{32},{28 34},0.413,0.243
{30 44},{34},0.217,0.664
{30 34},{44},0.368,0.391
{34 44},{30},0.25,0.576
{30},{34 44},0.563,0.255
{44},{30 34},0.373,0.386
{34},{30 44},0.641,0.224
{30 34},{48},0.368,0.518
{30 48},{34},0.282,0.675
{34 48},{30},0.316,0.602
{30},{34 48},0.563,0.338
{34},{30 48},0.641,0.297
{48},{30 34},0.479,0.398
{30 34},{49},0.368,0.409
{30 49},{34},0.229,0.656
{34 49},{30},0.254,0.593
{30},{34 49},0.563,0.267
{34},{30 49},0.641,0.235
{49},{30 34},0.389,0.387
{3 30},{34},0.142,0.712
{30 34},{3},0.368,0.276
{3 34},{30},0.162,0.627
{30},{3 34},0.563,0.18
{3},{30 34},0.238,0.426
{34},{3 30},0.641,0.158
{15 30},{34},0.185,0.687
{15 34},{30},0.202,0.629
{30 34},{15},0.368,0.345
{15},{30 34},0.305,0.415
{30},{15 34},0.563,0.225
{34},{15 30},0.641,0.198
{30 34},{16},0.368,0.521
{16 30},{34},0.29,0.662
{16 34},{30},0.332,0.577
{30},{16 34},0.563,0.341
{34},{16 30},0.641,0.299
{16},{30 34},0.513,0.374
{30 34},{26},0.368,0.444
{26 30},{34},0.245,0.668
{26 34},{30},0.27,0.606
{30},{26 34},0.563,0.29
{34},{26 30},0.641,0.255
{26},{30 34},0.412,0.396
{30 34},{2},0.368,0.29
{2 30},{34},0.156,0.682
{2 34},{30},0.187,0.571
{30},{2 34},0.563,0.19
{34},{2 30},0.641,0.167
{2},{30 34},0.273,0.392
{12 30},{34},0.215,0.66
{30 34},{12},0.368,0.385
{12 34},{30},0.238,0.597
{30},{12 34},0.563,0.252
{12},{30 34},0.365,0.388
{34},{12 30},0.641,0.221
{30 42},{34},0.188,0.671
{30 34},{42},0.368,0.342
{34 42},{30},0.209,0.602
{30},{34 42},0.563,0.223
{42},{30 34},0.317,0.396
{34},{30 42},0.641,0.196
{30 34},{46},0.368,0.417
{30 46},{34},0.226,0.679
{34 46},{30},0.253,0.607
{30},{34 46},0.563,0.273
{34},{30 46},0.641,0.24
{46},{30 34},0.372,0.412
{30 34},{32},0.368,0.461
{30 32},{34},0.245,0.693
{32 34},{30},0.277,0.611
{30},{32 34},0.563,0.301
{34},{30 32},0.641,0.265
{32},{30 34},0.413,0.411
{30 39},{34},0.193,0.673
{34 39},{30},0.21,0.619
{30 34},{39},0.368,0.353
{39},{30 34},0.316,0.411
{30},{34 39},0.563,0.23
{34},{30 39},0.641,0.203
{29 30},{34},0.163,0.657
{30 34},{29},0.368,0.292
{29 34},{30},0.18,0.599
{30},{29 34},0.563,0.191
{29},{30 34},0.28,0.383
{34},{29 30},0.641,0.168
{30 34},{38},0.368,0.29
{30 38},{34},0.157,0.679
{34 38},{30},0.179,0.596
{30},{34 38},0.563,0.19
{34},{30 38},0.641,0.167
{38},{30 34},0.269,0.397
{30 44},{48},0.217,0.525
{30 48},{44},0.282,0.403
{44 48},{30},0.186,0.612
{30},{44 48},0.563,0.202
{44},{30 48},0.373,0.305
{48},{30 44},0.479,0.238
{30 44},{16},0.217,0.518
{16 30},{44},0.29,0.387
{16 44},{30},0.196,0.573
{30},{16 44},0.563,0.199
{44},{16 30},0.373,0.301
{16},{30 44},0.513,0.218
{30 44},{32},0.217,0.468
{30 32},{44},0.245,0.415
{32 44},{30},0.164,0.618
{30},{32 44},0.563,0.18
{44},{30 32},0.373,0.272
{32},{30 44},0.413,0.246
{30 49},{48},0.229,0.525
{30 48},{49},0.282,0.427
{48 49},{30},0.191,0.631
{30},{48 49},0.563,0.214
{49},{30 48},0.389,0.31
{48},{30 49},0.479,0.252
{30 48},{16},0.282,0.524
{16 30},{48},0.29,0.51
{16 48},{30},0.248,0.596
{30},{16 48},0.563,0.262
{48},{16 30},0.479,0.309
{16},{30 48},0.513,0.288
{26 30},{48},0.245,0.514
{30 48},{26},0.282,0.446
{26 48},{30},0.205,0.614
{30},{26 48},0.563,0.223
{26},{30 48},0.412,0.305
{48},{26 30},0.479,0.263
{12 30},{48},0.215,0.531
{30 48},{12},0.282,0.404
{12 48},{30},0.182,0.628
{30},{12 48},0.563,0.203
{12},{30 48},0.365,0.312
{48},{12 30},0.479,0.238
{30 48},{46},0.282,0.427
{30 46},{48},0.226,0.533
{46 48},{30},0.19,0.634
{30},{46 48},0.563,0.214
{48},{30 46},0.479,0.252
{46},{30 48},0.372,0.323
{30 48},{32},0.282,0.436
{30 32},{48},0.245,0.503
